	Fibroblast	Malignant	B cell	Macrophage	Endothelial	T cell	Dendritic	Mast
alpha-Linolenic acid metabolism	0.80088480279125	1.36103472063037	0.964514982327008	0.793708605685896	0.797500224846143	1.04769708384305	1.09234360961575	1.14231597026053
Biosynthesis of unsaturated fatty acids	0.806007562642323	1.87993444059498	0.599480891511072	1.4813142235702	0.664977147140628	0.711956987243996	0.547064722632913	1.30926402466389
Purine metabolism	0.915097481051374	1.41336292131085	0.881976211507366	1.11487260736685	0.881191596207936	0.846837219054077	1.0118298775737	0.934832085927848
Pyrimidine metabolism	0.859835644251512	1.45870733150826	0.803434805427586	1.125000298264	1.01611842903268	0.797627539945775	0.999523579302454	0.939752372267727
Alanine, aspartate and glutamate metabolism	0.849467774209319	2.16765172148321	0.727696156154003	0.72118558088039	1.20481084292209	0.538698828755011	1.00195585143204	0.788533244163936
Glycine, serine and threonine metabolism	0.837295785785061	1.5963164187913	1.12720381661296	0.887269470630841	0.692032175530816	1.01654373870835	0.856721932001547	0.986616661939125
Cysteine and methionine metabolism	0.787681450659726	1.48398312112221	0.89358626755661	1.39061354725919	0.897355485684968	0.75890493207577	0.943178812355267	0.844696383286264
Valine, leucine and isoleucine degradation	0.887316266774586	1.83467662005745	0.901174211897567	1.18867293655224	0.92242462088518	0.706306263969282	0.857987944983624	0.701441134880072
Valine, leucine and isoleucine biosynthesis	NA	NA	NA	NA	NA	NA	NA	NA
Lysine degradation	0.954154342500974	0.640915244238181	0.952428275041398	1.21364420712105	1.20323935155265	0.990884341529664	1.11688507341207	0.927849164604005
Arginine biosynthesis	0.716694886257839	2.7161270763953	0.845334966059763	1.05622571508685	0.785758317244417	0.52057739676981	0.697684320344745	0.661597321841281
Arginine and proline metabolism	0.962316743193061	1.97006021545356	1.07242165614965	0.999634393044162	0.79538731133002	0.562269917429777	0.789248821213416	0.848660942186352
Histidine metabolism	1.08817383942611	0.869598387894052	1.0793649353914	1.59731407212998	0.63086781234936	0.680529849426181	0.792597399052517	1.26155370433039
Tyrosine metabolism	0.784378462986971	2.72148578089254	0.590826715986022	0.936238952089495	0.616249214500623	0.77042959131522	0.67745649353538	0.902934788693755
Phenylalanine metabolism	3.1188392138802	3.58784250837802	0.220003591307743	0.190468486739733	0.154064131816167	0.184166123526922	0.194395794243137	0.350220150108082
Tryptophan metabolism	0.879997839731446	0.785499795386125	1.00558158219812	1.09349422134854	0.629792215646779	1.19780876153169	1.34151485118219	1.06631073297511
Phenylalanine, tyrosine and tryptophan biosynthesis	NA	NA	NA	NA	NA	NA	NA	NA
beta-Alanine metabolism	0.747913803599329	1.49654471346068	1.11966690338418	1.18633993507252	1.0569882424881	0.688947782378707	0.929671948327341	0.77392667128914
Taurine and hypotaurine metabolism	1.41518308165127	0.344326394166759	0.919369577669127	0.502920849971132	0.822582466756928	1.33800094184358	1.25088630779773	1.40673038014347
Phosphonate and phosphinate metabolism	0.67220057142831	1.19732621560581	0.497180118556545	2.11433225409483	1.0403729794516	0.529215149862442	0.778680971723704	1.17069173927676
Selenocompound metabolism	0.695807447204143	2.0294565551034	0.879050140244604	1.18337554277328	1.31278409439674	0.630388822859505	0.660356038849287	0.608781358569043
D-Glutamine and D-glutamate metabolism	NA	NA	NA	NA	NA	NA	NA	NA
D-Arginine and D-ornithine metabolism	NA	NA	NA	NA	NA	NA	NA	NA
Glutathione metabolism	0.697274372348775	2.31243835438406	0.987870700154833	1.01262256116219	0.70268953917725	0.575342050119891	0.824598196374529	0.887164226278467
